repo,n_pairs,n_events,n_snapshots,mean_delta_composite,median_delta_composite,positive_share
zlib,23,5,2,0.046944013356195975,0.04227905402859794,0.7391304347826086
sqlite,11,8,1,0.015205502757553805,0.013836679681222375,0.7272727272727273
psf-requests,3,2,2,0.0007545720770586462,0.009565643551063319,0.6666666666666666
traefik-traefik,8,5,3,0.01458218169794298,0.008441963752507817,0.625
php-src,1,1,1,0.004271369151483628,0.004271369151483628,1.0
curl,137,85,5,0.007789495716304004,0.0019799410370977544,0.5328467153284672
jq,7,5,1,0.0028933677207005587,0.001690682931979992,0.5714285714285714
git,27,15,4,0.003264019634124776,0.0003806699271060032,0.5185185185185185
openssh,10,10,4,-0.0020384782272563906,-0.0012166366480668156,0.5
openssl,31,18,2,0.0008409304396831256,-0.004958001708231907,0.41935483870967744
django-django,5,5,1,-0.003606321428778536,-0.012153170821788739,0.4
pallets-flask,1,1,1,-0.055035075373471354,-0.055035075373471354,0.0
