repo,snapshot_tag,snapshot_commit,advisory_id,fixed_commit,file_path,published_at,severity_label,source_family,mapping_basis,review_decision,reviewer,notes
jq,,,CVE-2024-23337,0673dee1b38db5d49ae3f8cda0ba53fa4021c3ba,src/execute.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,CVE-2024-53427,0f80921268edcc3d502e6d84612ba71fed6b0947,src/compile.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,OSV-2024-330,34182cca7babec086bbc93dec209275be896ca9e,src/jv_dtoa_tsd.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,CVE-2024-23337,4e3088f1888f367ce744d830423848d15a03f5d0,src/util.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,CVE-2025-49014,695830c453113ea4cf6b62c76046945ac24b0296,src/builtin.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,GHSA-GF4G-95WJ-4Q4R,750dbe723b29b2023b83489af9683f4fe8a40cbe,src/execute.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,GHSA-F946-J5J2-4W5M,8001955fb76f784480fba3300fea602012ee9446,src/builtin.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,CVE-2023-50268,8537b93a4301ecac98fb7dad92bba9cfd17a1f37,src/compile.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,CVE-2023-50246,860af44fee7dcea8797daeb836a9b7c971c67e65,src/jv.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
jq,,,OSV-2023-1329,a03ae02f4489e35cc874bb529570092414eee729,src/execute.c,,NON_SECURITY_BUGFIX,ordinary_bugfix,strict_bugfix_screen,accept,initial_curation,Commit message and changed-file context remain consistent with an ordinary bug-fix control.
