repo,security_commit,security_parent,security_event_id,security_ids,security_ground_truth_policy,security_ground_truth_source,security_epoch,security_file,security_suffix,security_size_bytes,security_loc,security_composite,security_ci_gzip,security_entropy,security_cc_density,security_halstead,bugfix_commit,bugfix_parent,bugfix_subject,bugfix_epoch,bugfix_file,bugfix_suffix,bugfix_size_bytes,bugfix_loc,bugfix_composite,bugfix_ci_gzip,bugfix_entropy,bugfix_cc_density,bugfix_halstead,loc_ratio,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead
curl,1890d59905414ab84a35892b2e45833654aa5c13,d2bcf1e3e247d116dc96bd3ea32056e3f089449c,CVE-2017-7407,CVE-2017-7407,strict_nvd_event,nvd_ref,1489303711,src/tool_writeout.c,.c,13036.0,354.0,0.3052261780624119,0.19146977600490947,0.7211076270808929,0.23728813559322035,0.0,b9fd757d03c990cbd859ec93bfd943ef3503176a,3a9419f65a2f7981110487d806c9eb5086f4ab37,sasl_gssapi: Fixed memory leak with local SPN variable,1421595607,lib/curl_sasl_gssapi.c,.c,13085,293,0.3066211876101043,0.2580053496369889,0.7743148088273621,0.09556313993174062,0.0,1.2081911262798635,-0.001395009547692394,-0.06653557363207943,-0.05320718174646921,0.14172499566147972,0.0
curl,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,0b4ccc97f26316476d4c2abbd429952bf61b6375,CVE-2018-0500,CVE-2018-0500,strict_nvd_event,nvd_ref,1531116948,lib/smtp.c,.c,46789.0,1206.0,0.28841345616851255,0.23494838530423817,0.6395847648720575,0.17081260364842454,0.04429434958487288,158d7016419429e7741ec35d0d6e256985762347,2f6bfd54997904457991fd6897ddbc309d3292ad,formboundary: convert assert into run-time check,1494313705,lib/formdata.c,.c,46718,1326,0.30668254888091406,0.2547626182627681,0.6959523045251846,0.1779788838612368,0.01749256825006782,0.9095022624434389,-0.018269092712401513,-0.01981423295852991,-0.05636753965312713,-0.007166280212812265,0.026801781334805062
curl,f3a24d7916b9173c69a3e0ee790102993833d6c5,81d135d67155c5295b1033679c606165d4e28f3f,CVE-2018-16839,CVE-2018-16839,strict_nvd_event,nvd_ref,1540796723,lib/vauth/cleartext.c,.c,4966.0,132.0,0.31266905806801576,0.30608135320177204,0.7746404007388493,0.045454545454545456,0.0,cb64c987a062a9c16ab997415a1440182edb069a,67d16160184493c6717e4e572fafed7467af4983,gopher: fix memory leak and busyloop,1282738885,lib/gopher.c,.c,5005,142,0.3434484875590038,0.3922077922077922,0.7453734505479102,0.07746478873239436,0.0,0.9295774647887324,-0.030779429490988053,-0.08612643900602018,0.029266950190939167,-0.032010243277848904,0.0
curl,81d135d67155c5295b1033679c606165d4e28f3f,9d8dad1a9d79d60e021f0c4e0f66bf5d51fb3c4e,CVE-2018-16840,CVE-2018-16840,strict_nvd_event,nvd_ref,1540796723,lib/url.c,.c,136277.0,3426.0,0.3161774746529869,0.2531535035259068,0.6418009850576721,0.18213660245183888,0.18703647195834047,d00f2a8f2e8529024709f70c8ab4c4138dc651a0,afb57f7b0bfe179b1d31acf652cc136349de32ec,http_proxy: Fix proxy CONNECT hang on pending data,1482132412,lib/ftp.c,.c,136739,3540,0.3083096739261326,0.2592822823042438,0.6612096545433532,0.157909604519774,0.12992080183872795,0.9677966101694915,0.00786780072685428,-0.006128778778337007,-0.019408669485681096,0.02422699793206487,0.05711567011961252
curl,d530e92f59ae9bb2d47066c3c460b25d2ffeb211,e97679a360dda4ea6188b09a145f73a2a84acedd,CVE-2018-16842,CVE-2018-16842,strict_nvd_event,nvd_ref,1540882045,src/tool_msgs.c,.c,3282.0,104.0,0.357545395026633,0.40706886045094454,0.7565952740705002,0.09615384615384616,0.0,4b43d18c4a733b1c47ccab481502a7d84fd07691,2596fe0cb779e64599d8b11f27419a2caecd804a,"fix compiler warning: conversion from ""long"" to ""size_t"" may lose sign",1266250732,lib/strequal.c,.c,3193,105,0.3663947238947116,0.3914813654870028,0.7562086958860664,0.1523809523809524,0.0,0.9904761904761905,-0.008849328868078599,0.01558749496394174,0.00038657818443377234,-0.056227106227106236,0.0
curl,bbb71507b7bab52002f9b1e0880bed6a32834511,b03b82a85fdbd6e6a20263f6e16c589633d5d7cc,CVE-2021-22897,CVE-2021-22897,strict_nvd_event,nvd_ref,1621835765,lib/vtls/schannel.h,.h,3727.0,93.0,0.35103186339406434,0.43520257579822913,0.757076436730283,0.03225806451612903,0.0,bcd1c7c2e92d41ab02163a36a1ab9d5a7afd83a9,87428e07ca17a99fb2409ec39213b7badbe967ea,fix compiler warning,1267202553,lib/curlx.h,.h,3671,93,0.3217295853922634,0.37047126123672025,0.7549634378335854,0.010752688172043012,0.0,1.0,0.029302278001800963,0.06473131456150888,0.002112998896697582,0.02150537634408602,0.0
curl,39ce47f219b09c380b81f89fe54ac586c8db6bde,bbb71507b7bab52002f9b1e0880bed6a32834511,CVE-2021-22898,CVE-2021-22898,strict_nvd_event,nvd_ref,1621835765,lib/telnet.c,.c,43597.0,1331.0,0.30931279155325453,0.21629928664816386,0.7095084597204336,0.21036814425244177,0.042206476617281295,d3408d05935e61a303b5761cc5aa029eb54408f8,318c5c802b5481e184def6f711991657be277cc3,nss: fix a crash within SSL_AuthCertificate(),1301934859,lib/nss.c,.c,43565,1205,0.3345538458110385,0.2836910363824171,0.712074781804241,0.17593360995850624,0.1105908508571158,1.1045643153526972,-0.025241054257783946,-0.06739174973425324,-0.0025663220838073597,0.03443453429393553,-0.06838437423983451
curl,bbb71507b7bab52002f9b1e0880bed6a32834511,b03b82a85fdbd6e6a20263f6e16c589633d5d7cc,CVE-2021-22897,CVE-2021-22897,strict_nvd_event,nvd_ref,1621835765,lib/vtls/schannel.c,.c,83182.0,2004.0,0.3148421119439569,0.22980933375009016,0.702273002630081,0.17265469061876249,0.13398500028846244,4fef0d4f14dc3765e88a17fae3c4cd90fff89c33,89d6f580dc234999edce62242cbdd32e453d1bcb,Fixed a bug that caused a few bytes of garbage to be sent after a curl_easy_pause() during a chunky upload. Reported by Steve Roskowski.,1225307208,lib/transfer.c,.c,83180,2069,0.34484063633073825,0.306804520317384,0.6974558216138744,0.2112131464475592,0.10579917227591765,0.9685838569357177,-0.029998524386781356,-0.07699518656729382,0.00481718101620654,-0.03855845582879672,0.028185828012544795
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,CVE-2021-22901,strict_nvd_event,nvd_ref,1621854910,lib/vtls/vtls.h,.h,13998.0,258.0,0.285643364096134,0.27161023003286183,0.7307938112303557,0.03875968992248062,0.0,139a54ed0a172adaaf1a78d6f4fff50b2c3f9e08,aad7d9f9a63ab34a9cce20b4701c4315d26dc64b,openssl: don't leak the SRP credentials in redirects either,1650918880,lib/http.h,.h,13948,304,0.29016838164328534,0.3099369085173502,0.7109958390218859,0.023026315789473683,0.0,0.8486842105263158,-0.004525017547151344,-0.03832667848448834,0.019797972208469794,0.015733374133006937,0.0
curl,7f4a9a9b2a49547eae24d2e19bc5c346e9026479,39ce47f219b09c380b81f89fe54ac586c8db6bde,CVE-2021-22901,CVE-2021-22901,strict_nvd_event,nvd_ref,1621854910,lib/vtls/rustls.c,.c,19458.0,532.0,0.3126711492706192,0.2731010381334156,0.754140121493257,0.12406015037593984,0.0,bf2277e26359676bec7c4d2a8205eda0bc0044e5,348ffbc47e4c88def3bf48a8aa794e9270527361,fix compilation on AIX,1243528997,ares/adig.c,.c,19431,610,0.3119231417510175,0.25145386238484896,0.7354895266162528,0.16393442622950818,0.011374216604918885,0.8721311475409836,0.00074800751960169,0.021647175748566616,0.018650594877004267,-0.03987427585356834,-0.011374216604918885
