pair_id,repo,security_event_id,security_ground_truth_policy,commit,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,log_loc,log_size_bytes
0,curl,CVE-2017-7407,strict_nvd_event,1890d59905414ab84a35892b2e45833654aa5c13,1,security,src/tool_writeout.c,.c,354.0,13036.0,0.19146977600490947,0.7211076270808929,0.23728813559322035,0.0,0.3052261780624119,5.872117789475416,9.47554674766278
0,curl,CVE-2017-7407,strict_nvd_event,b9fd757d03c990cbd859ec93bfd943ef3503176a,0,bugfix,lib/curl_sasl_gssapi.c,.c,293.0,13085.0,0.2580053496369889,0.7743148088273621,0.09556313993174062,0.0,0.3066211876101043,5.683579767338681,9.479298235429685
1,curl,CVE-2018-0500,strict_nvd_event,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,1,security,lib/smtp.c,.c,1206.0,46789.0,0.23494838530423817,0.6395847648720575,0.17081260364842454,0.04429434958487288,0.28841345616851255,7.095893221097532,10.753424783860263
1,curl,CVE-2018-0500,strict_nvd_event,158d7016419429e7741ec35d0d6e256985762347,0,bugfix,lib/formdata.c,.c,1326.0,46718.0,0.2547626182627681,0.6959523045251846,0.1779788838612368,0.01749256825006782,0.30668254888091406,7.190676034332207,10.751906213163448
2,curl,CVE-2018-16839,strict_nvd_event,f3a24d7916b9173c69a3e0ee790102993833d6c5,1,security,lib/vauth/cleartext.c,.c,132.0,4966.0,0.30608135320177204,0.7746404007388493,0.045454545454545456,0.0,0.31266905806801576,4.890349128221754,8.51057131510735
2,curl,CVE-2018-16839,strict_nvd_event,cb64c987a062a9c16ab997415a1440182edb069a,0,bugfix,lib/gopher.c,.c,142.0,5005.0,0.3922077922077922,0.7453734505479102,0.07746478873239436,0.0,0.3434484875590038,4.962844630259907,8.518392471991719
3,curl,CVE-2018-16840,strict_nvd_event,81d135d67155c5295b1033679c606165d4e28f3f,1,security,lib/url.c,.c,3426.0,136277.0,0.2531535035259068,0.6418009850576721,0.18213660245183888,0.18703647195834047,0.3161774746529869,8.139440521874608,11.822452195999471
3,curl,CVE-2018-16840,strict_nvd_event,d00f2a8f2e8529024709f70c8ab4c4138dc651a0,0,bugfix,lib/ftp.c,.c,3540.0,136739.0,0.2592822823042438,0.6612096545433532,0.157909604519774,0.12992080183872795,0.3083096739261326,8.172164452111904,11.825836591467786
4,curl,CVE-2018-16842,strict_nvd_event,d530e92f59ae9bb2d47066c3c460b25d2ffeb211,1,security,src/tool_msgs.c,.c,104.0,3282.0,0.40706886045094454,0.7565952740705002,0.09615384615384616,0.0,0.357545395026633,4.653960350157523,8.096512917501594
4,curl,CVE-2018-16842,strict_nvd_event,4b43d18c4a733b1c47ccab481502a7d84fd07691,0,bugfix,lib/strequal.c,.c,105.0,3193.0,0.3914813654870028,0.7562086958860664,0.1523809523809524,0.0,0.3663947238947116,4.663439094112067,8.069029328774958
