candidate_id,repo,anchor_tag,anchor_commit,intervention_commit,intervention_parent,commit_epoch,commit_date,anchor_epoch,anchor_date,subject,file_path,suffix,directory_depth_bucket,intervention_type,keyword_basis,pre_loc,pre_size_bytes,pre_ci_gzip,pre_shannon_entropy,pre_cyclomatic_density,pre_halstead_volume,pre_composite_score,pre_directory_depth,pre_prior_touches_total,pre_prior_touches_365d,pre_total_churn,pre_churn_365d,pre_author_count_total,pre_author_count_365d,pre_file_age_days,pre_latest_touch_days,post_loc,post_size_bytes,post_ci_gzip,post_shannon_entropy,post_cyclomatic_density,post_halstead_volume,post_composite_score,post_directory_depth,post_prior_touches_total,post_prior_touches_365d,post_total_churn,post_churn_365d,post_author_count_total,post_author_count_365d,post_file_age_days,post_latest_touch_days,pre_log_loc,pre_log_prior_touches_total,intervention_id,delta_composite_score,reduced_composite_score,delta_ci_gzip,reduced_ci_gzip,delta_halstead_volume,reduced_halstead_volume,delta_cyclomatic_density,reduced_cyclomatic_density,structure_drop_count
django-django:23984cf907168d2a26579e54bf53d5d222431f01:django/utils/html.py,django-django,1.7b1,7b3a221ad674ce74afd5db2a7dd0a0a3beb354ed,23984cf907168d2a26579e54bf53d5d222431f01,7b3a221ad674ce74afd5db2a7dd0a0a3beb354ed,1396553290,2014-04-03T19:28:10+00:00,1396551401,2014-04-03T18:56:41+00:00,,django/utils/html.py,.py,2,refactor,refactor,291.0,13159.0,0.34151531271373203,0.7837618112984217,0.030927835051546393,0.0,0.32160690509003775,2.0,82.0,25.0,1006.0,182.0,31.0,16.0,3186.729675925926,12.068634259259259,291.0,13261.0,0.3438654701757032,0.7836104291869661,0.030927835051546393,0.0,0.32239509191237925,2.0,83.0,26.0,1018.0,194.0,32.0,17.0,3186.751539351852,0.0,5.676753802268282,4.418840607796598,django-django::23984cf907168d2a26579e54bf53d5d222431f01::django/utils/html.py,0.0007881868223414967,0,0.0023501574619711474,0,0.0,0,0.0,0,0
django-django:3f76d1402dac9c2993d588f996dc1c331edbc9a7:django/db/backends/base/schema.py,django-django,1.7a2,f8bfa806805a87d2cdd677089bd96fbf8400cb95,3f76d1402dac9c2993d588f996dc1c331edbc9a7,f8bfa806805a87d2cdd677089bd96fbf8400cb95,1468593277,2016-07-15T14:34:37+00:00,1468591503,2016-07-15T14:05:03+00:00,,django/db/backends/base/schema.py,.py,4,refactor,refactor,914.0,46141.0,0.21057194252400252,0.7191960847127664,0.19474835886214442,0.06110247973073531,0.30855516215518813,4.0,31.0,15.0,1260.0,112.0,17.0,10.0,547.7838310185185,7.566608796296296,920.0,46324.0,0.2102581815041879,0.7193087137360974,0.1923913043478261,0.06147098441152075,0.3079304145808899,4.0,32.0,16.0,1275.0,127.0,17.0,10.0,547.8043634259259,0.0,6.818924065275521,3.4657359027997265,django-django::3f76d1402dac9c2993d588f996dc1c331edbc9a7::django/db/backends/base/schema.py,-0.0006247475742982567,1,-0.0003137610198146179,1,0.0003685046807854406,0,-0.0023570545143183352,1,3
django-django:1557778121e5d04a80f1f7c81eeb4b47400939e4:django/core/management/commands/loaddata.py,django-django,1.7a2,1e655d35ad7540ea557c532ebc72a9acc407df50,1557778121e5d04a80f1f7c81eeb4b47400939e4,1e655d35ad7540ea557c532ebc72a9acc407df50,1621017904,2021-05-14T18:45:04+00:00,1621017904,2021-05-14T18:45:04+00:00,,django/core/management/commands/loaddata.py,.py,4,simplify,simplify;split,311.0,14570.0,0.2827041866849691,0.7735578669546895,0.21543408360128619,0.0,0.34520154517731466,4.0,125.0,4.0,2333.0,53.0,46.0,4.0,5020.526493055556,0.0,310.0,14462.0,0.2848845249619693,0.7751017172848629,0.2161290322580645,0.0,0.34654114979295997,4.0,126.0,5.0,2342.0,62.0,46.0,4.0,5020.526493055556,0.0,5.7430031878094825,4.836281906951478,django-django::1557778121e5d04a80f1f7c81eeb4b47400939e4::django/core/management/commands/loaddata.py,0.0013396046156453068,0,0.0021803382770002044,0,0.0,0,0.000694948656778327,0,0
django-django:12576bd371c96fcc92f47a3df806531ff10450c6:django/contrib/auth/views.py,django-django,1.7a2,420d13edeed8d2848b52f37144fe5edb7baff0cc,12576bd371c96fcc92f47a3df806531ff10450c6,420d13edeed8d2848b52f37144fe5edb7baff0cc,1650441869,2022-04-20T08:04:29+00:00,1650441588,2022-04-20T07:59:48+00:00,,django/contrib/auth/views.py,.py,3,refactor,refactor,341.0,15030.0,0.22548236859614104,0.763348945301642,0.06451612903225806,0.003342300153745015,0.2857188888338599,3.0,128.0,6.0,2481.0,214.0,54.0,5.0,5832.269351851852,1.1487268518518519,331.0,14522.0,0.22944498003029887,0.7638707964700293,0.06646525679758308,0.0,0.28723098572658035,3.0,129.0,7.0,2527.0,260.0,54.0,5.0,5832.2726041666665,0.0,5.834810737062605,4.859812404361672,django-django::12576bd371c96fcc92f47a3df806531ff10450c6::django/contrib/auth/views.py,0.0015120968927204714,0,0.003962611434157826,0,-0.003342300153745015,1,0.0019491277653250205,0,1
traefik-traefik:bf37869b8f6fd8315828f189d4a8e811d12dccae:tortuous.go,traefik-traefik,,8fcbd73edcb1e5d85be14bf7b755f267dab4c0d4,bf37869b8f6fd8315828f189d4a8e811d12dccae,8fcbd73edcb1e5d85be14bf7b755f267dab4c0d4,1441615138,2015-09-07T08:38:58+00:00,1441221205,2015-09-02T19:13:25+00:00,,tortuous.go,.go,0,refactor,refactor,157.0,4346.0,0.37022549470777727,0.8094821090820052,0.025477707006369428,0.0,0.34065435807179456,0.0,6.0,6.0,319.0,319.0,2.0,2.0,5.1278125,0.0,166.0,4713.0,0.3613409717801825,0.7979587673351942,0.0963855421686747,0.0,0.3519367386674306,0.0,7.0,7.0,456.0,456.0,2.0,2.0,9.687222222222223,0.0,5.062595033026967,1.9459101490553132,traefik-traefik::bf37869b8f6fd8315828f189d4a8e811d12dccae::tortuous.go,0.011282380595636021,0,-0.008884522927594785,1,0.0,0,0.07090783516230528,0,1
prometheus-prometheus:682cf6fc51f2ce8ca38d7039ebf0133e34e46886:rules/ast/query_analyzer.go,prometheus-prometheus,,fd63500ed3550a5f7fd252ee4317a259fbe6ec38,682cf6fc51f2ce8ca38d7039ebf0133e34e46886,fd63500ed3550a5f7fd252ee4317a259fbe6ec38,1392387357,2014-02-14T14:15:57+00:00,1392386499,2014-02-14T14:01:39+00:00,,rules/ast/query_analyzer.go,.go,2,simplify,simplify,102.0,5943.0,0.31347804139323576,0.8147310441514898,0.16666666666666666,0.0,0.3556753012812961,2.0,13.0,13.0,310.0,310.0,3.0,3.0,329.86443287037036,0.0,102.0,6165.0,0.3099756690997567,0.8161523818076772,0.16666666666666666,0.0,0.3549532076444038,2.0,14.0,14.0,326.0,326.0,3.0,3.0,329.87436342592594,0.0,4.634728988229636,2.6390573296152584,prometheus-prometheus::682cf6fc51f2ce8ca38d7039ebf0133e34e46886::rules/ast/query_analyzer.go,-0.0007220936368922959,1,-0.00350237229347905,1,0.0,0,0.0,0,2
prometheus-prometheus:d48606827c06abdf320bcee6a3df79b3708979b1:block.go,prometheus-prometheus,,e138c7ed7e101d8addaf22978d2d6b15b1fb1963,d48606827c06abdf320bcee6a3df79b3708979b1,e138c7ed7e101d8addaf22978d2d6b15b1fb1963,1549625732,2019-02-08T11:35:32+00:00,1549625188,2019-02-08T11:26:28+00:00,,block.go,.go,0,simplify,simplify,407.0,17203.0,0.30820205778061965,0.7599455304398739,0.11056511056511056,0.0,0.32326718048996417,0.0,116.0,21.0,3310.0,201.0,13.0,11.0,791.7800694444444,9.073472222222222,404.0,17249.0,0.3090034204881442,0.7615521357248344,0.10891089108910891,0.0,0.3235619951327668,0.0,117.0,22.0,3339.0,230.0,13.0,11.0,791.7863657407407,0.0,6.0112671744041615,4.762173934797756,prometheus-prometheus::d48606827c06abdf320bcee6a3df79b3708979b1::block.go,0.00029481464280262104,0,0.0008013627075245666,0,0.0,0,-0.0016542194760016532,1,1
prometheus-prometheus:06b486b41e233eeb8c772fb18c04ed83567cd56f:storage/remote/write.go,prometheus-prometheus,v0.47.1,44f166d0664bb3bd1dfd36d74ed686079eee6c88,06b486b41e233eeb8c772fb18c04ed83567cd56f,44f166d0664bb3bd1dfd36d74ed686079eee6c88,1699535892,2023-11-09T13:18:12+00:00,1699535892,2023-11-09T13:18:12+00:00,,storage/remote/write.go,.go,2,cleanup,cleanup,243.0,9322.0,0.3351212186226132,0.7918355849275397,0.09053497942386832,0.0,0.3371216405872441,2.0,54.0,3.0,783.0,36.0,28.0,3.0,2311.0765625,0.0,239.0,9161.0,0.3320598187970746,0.794202522904253,0.08786610878661087,0.0,0.33621595354182593,2.0,55.0,4.0,812.0,65.0,29.0,4.0,2311.0765625,0.0,5.497168225293202,4.007333185232471,prometheus-prometheus::06b486b41e233eeb8c772fb18c04ed83567cd56f::storage/remote/write.go,-0.0009056870454181576,1,-0.003061399825538602,1,0.0,0,-0.002668870637257445,1,3
fastapi-fastapi:addfa89b0f750abc193f62be8e457fc487b842ee:fastapi/applications.py,fastapi-fastapi,,b9d912c6380661647b51c322820fcb4ba08f32d2,addfa89b0f750abc193f62be8e457fc487b842ee,b9d912c6380661647b51c322820fcb4ba08f32d2,1544125678,2018-12-06T19:47:58+00:00,1544113490,2018-12-06T16:24:50+00:00,,fastapi/applications.py,.py,1,refactor,refactor,375.0,12936.0,0.10853432282003711,0.7224101389723849,0.016,0.0,0.22230094744150894,1.0,2.0,2.0,926.0,926.0,1.0,1.0,1.3944444444444444,0.0,378.0,13095.0,0.11072928598701795,0.7238515190208971,0.015873015873015872,0.0,0.22338346922048724,1.0,3.0,3.0,933.0,933.0,1.0,1.0,1.5355092592592592,0.0,5.929589143389895,1.0986122886681098,fastapi-fastapi::addfa89b0f750abc193f62be8e457fc487b842ee::fastapi/applications.py,0.0010825217789783015,0,0.00219496316698084,0,0.0,0,-0.0001269841269841282,1,1
fastapi-fastapi:510fec9bee23a9c31157090a2081f2038f7ae5cf:fastapi/encoders.py,fastapi-fastapi,0.1.12,a73709507c0778f97584ce67683901ec9da28d2a,510fec9bee23a9c31157090a2081f2038f7ae5cf,a73709507c0778f97584ce67683901ec9da28d2a,1545484504,2018-12-22T13:15:04+00:00,1545474948,2018-12-22T10:35:48+00:00,,fastapi/encoders.py,.py,1,refactor,refactor,95.0,2743.0,0.2121764491432738,0.8432538033049791,0.12631578947368421,0.0,0.319588898376948,1.0,3.0,3.0,112.0,112.0,1.0,1.0,15.757615740740741,0.0,56.0,1801.0,0.31038312048861744,0.8579456522983102,0.16071428571428573,0.0,0.367833594534613,1.0,4.0,4.0,191.0,191.0,1.0,1.0,15.868217592592593,0.0,4.564348191467836,1.3862943611198906,fastapi-fastapi::510fec9bee23a9c31157090a2081f2038f7ae5cf::fastapi/encoders.py,0.048244696157665024,0,0.09820667134534364,0,0.0,0,0.03439849624060151,0,0
